Source,Citation,Quote,Comment
Lotus Sutra,Chapter 19,"When he keeps this sūtra,
He will be able to reach a rare stage.
He will be joyfully loved and respected 
By all living beings.","The Buddha sings these verses in Chapter Nineteen of the Lotus Sūtra. He describes those who put this sūtra in their lives, and dedicate their existence to liberating all beings from ignorance and delusion. When the Buddha became enlightened, he realized all beings can become enlightened. When we work for the benefit of all beings, we find the Buddha’s mind and bring harmony into our lives and the world."
Nichiren,Response to My Lady Nichinyo (Nichinyo Gozen Gohenji),"We do not see a shadow in the dark. Man does not see the flight path of a bird in the air. We do not see the path of a fish in the sea. We do not see everyone in the world reflected on the moon. However a person with “heavenly eyes” sees all these. The scene of the chapter “Appearance of a Stupa of Treasures” exists in the mind of Lady Nichinyo. Though ordinary people do not see it, Śākyamuni Buddha, the Buddha of Many Treasures and Buddhas throughout the universe recognize it. I, Nichiren, also can see it. How blessed are you!","Nichiren wrote this passage in his Response to My Lady Nichinyo (Nichinyo Gozen Gohenji). The Chapter Nichiren mentions describes the assembly of the Buddha, Many-Treasures Buddha, and innumerable Buddhas from other worlds gathered to hear the Wonderful Dharma of the Lotus Sūtra. Nichiren used a representation of this scene for the Omandala Gohonzon, his representation of the Buddha’s highest teaching. In this response, Nichiren recognizes that Lady Nichinyo sees this assembly in the reality of her everyday life. The Buddha taught that this is the most difficult of his teachings to believe and understand. Nichiren and Lady Nichinyo are examples for us that, despite this difficulty, we too can learn to see this world of delusion and ignorance as the Buddha’s pure land."
Lotus Sutra,Chapter 17,"He was strenuous and resolute in mind.  He concentrated his mind,  And refrained from indolence  For many hundreds of millions of kalpas.","The Buddha sings these verses to Maitreya Bodhisattva in Chapter Seventeen of the Lotus Sūtra. In this Chapter, the Buddha describes the benefits from practicing generosity, discipline, patience, perseverance, and in these verses, concentration. He then compares these benefits to those which come from understanding the ever-present nature of the Buddha, even for a time no longer than the time it takes to blink. The merits of the latter outshine the former as the sun in a clear sky outshines the stars. When we are assured of the Buddha’s constant presence, helping all of us to become enlightened, we find that we can accomplish far more than we thought possible."
Nichiren,"Treatise on Opening the Eyes of Buddhist Images, Wooden Statues or Portraits (Mokue Nizō Kaigen no Koto)","Mind is called the spiritual aspect while voice is the physical aspect. Therefore the spiritual aspect reveals the physical aspect. But it is also possible to perceive the mind by listening to the voice. In this case, the physical aspect (voice) reveals the spiritual aspect (mind)","Nichiren wrote this passage in his Treatise on Opening the Eyes of Buddhist Images, Wooden Statues or Portraits (Mokue Nizō Kaigen no Koto). This is one of the many instructions Nichiren gives us for how to read the Lotus Sūtra and find the wisdom of the Buddha within it. It is easy to understand how the intentions we have in our minds guide our words and actions. By cultivating the intention to benefit all beings, rather than just focusing on making ourselves happy, we mold our speech and actions to accord with that intention. Finding the mind behind the voice is more difficult. When we look for the Buddha speaking to us in all situations, especially those which are demanding, we bring ourselves closer to the Buddha’s own mind. We bring our speech and actions into harmony with the world as it is."
Lotus Sutra,Chapter 14,"Anyone who reads this sūtra Will be free from grief, Sorrow, disease or pain. His complexion will be fair. He will not be poor, Humble or ugly.  
All living beings Will wish to see him Just as they wish to see sages and saints. Celestial pages will serve him.","The Buddha sings these verses in Chapter Fourteen of the Lotus Sūtra. When we cultivate the mind of the Buddha, and bring his teachings to life, we help other beings find true happiness. This is different from our normal pattern of attempting to manipulate what others think about us through bribery, threats, and other forms of coercion. When we help others find their minds, they realize that they share our true mind of joy and peace."
Lotus Sutra,Chapter 23,"Your face is most wonderful.  Your light illumines the worlds of the ten quarters.  I once made offerings to you.  Now I have come to see you again.","Gladly-Seen-By-All-Beings Bodhisattva sings these verses to Sun-Moon-Pure-Bright-Virtue Buddha in a story told in Chapter Twenty-Three of the Lotus Sūtra. That Bodhisattva was the previous life of Medicine-King Bodhisattva who accepted all of the misfortunes of this world of delusion and ignorance so that he could benefit all beings living here. When we awaken our nature as Bodhisattvas, and resolve to use the Buddha’s teachings to purify this world, then we are assured we will never fail to meet Buddhas and repay the good they do for us."
Nichiren,“Emperor Shushun” Letter (Sushun Tennō Gosho),"I still remember vividly how you accompanied me to Tatsunokuchi holding a horse by the bridle, and breaking into tears when I was about to be beheaded there. I will never forget this no matter how many lifetimes come and go. If by chance you should fall into hell, I will refuse the invitation of Śākyamuni Buddha to become a Buddha. Instead I will go into hell with you. If we both entered into hell, how could it be that we would not find Śākyamuni Buddha and the Lotus Sutra there?","Nichiren wrote this passage in his “Emperor Shushun” Letter (Sushun Tennō Gosho) addressed to his disciple Shijō Kingo. Despite the hardships he faced in his life, Nichiren never forgot the kindnesses shown to him by ordinary people. His great determination to save all beings made him fearless even were he to be threatened by the Buddha with the torments of the Hell realms for the sake of those dear to him. Nichiren knew that he would be able to find the Buddha anywhere, and that his devotion would overcome any difficulty."
Lotus Sutra,Chapter 21,"The Buddhas joyfully display  Their immeasurable, supernatural powers  Because [the Bodhisattvas from underground]  [Vow to] keep this sūtra after my extinction.","The Buddha sings these verses to Superior-Practice Bodhisattva (Jōgyo, Viśiṣṭacārītra) in Chapter Twenty-One of the Lotus Sūtra. Superior-Practice is the leader of the Bodhisattvas who came up from underground in Chapter Fifteen when the Buddha asked who would continue to keep and practice this sūtra after his physical extinction in this world. Nichiren saw himself as the embodiment of Superior-Practice, and all of us who are determined to lead all beings to enlightenment through this Wonderful Dharma as embodiments of the Bodhisattvas who came up from underground. The powers of the Buddhas only seem supernatural to those who are mired in delusion and ignorance. They are nothing more than turning the poison of anger into the medicine of energy; the poison of isolation into the medicine of compassion; the poison of attachment into the medicine of wisdom."
Nichiren,Essay on Gratitude (Hōon-jō),"With Nichiren’s boundless compassion, “Namu Myoho Renge Kyo” will be heard forever even beyond the ten-thousand year period of Degeneration. It has the merit of curing the blindness of all people, blocking the way to hell. This merit is superior to those of Dengyō in Japan, T’ien-t’ai in China, Nāgārjuna in India or Kāśyapa who was the Buddha’s disciple. Practice for a hundred years in the Pure Land is not worth the merit of chanting the daimoku for one day in this defiled world. Propagation of the daimoku in a two-thousand year period following the death of the Buddha is not worth as much as spreading the daimoku for even a short while in the Latter Age of Degeneration. This is not from my wisdom; it is solely due to the time in which I live.","Nichiren wrote this passage in his Essay on Gratitude (Hōon-jō). In other writings, he explained that the superiority of the Lotus Sūtra is not in its power to change the world, but its power to lead all beings, without exception, to the same enlightenment the Buddha found. In this sūtra, the Buddha gives us a different idea of time, the world and our lives. All of these are truly boundless, and the Buddha is always here teaching us."
Lotus Sutra,Chapter 19,"Anything which tastes good, bad, delicious, distasteful, bitter or astringent, will become as delicious as the nectar of heaven and not distasteful when it is put on their tongues.","The Buddha gives this explanation to Constant-Endeavor Bodhisattva in Chapter Nineteen of the Lotus Sūtra, describing those who keep the Lotus Sūtra. In our habitual pursuit of pleasure, we often forget that what is pleasant to some people is irritating to others. This is most obvious with food. Flavors that some find delicious others find disgusting. When we understand that the things in the world are not the cause of our happiness or misery, and that our minds affect how we perceive the world, we find more joy and wonder than we thought possible, and no longer depend on this capricious existence for our happiness."
Lotus Sutra,Chapter 2,"Know this, Śāriputra! I once vowed that I would cause All living beings to become Exactly as I am.  That old vow of mine Has now been fulfilled. I lead all living beings Into the Way to Buddhahood.","The Buddha sings these verses in Chapter Two of the Lotus Sūtra. Earlier in the chapter he explained that all the teachings he used before the Lotus Sūtra were mere expedients, intended to use our desire for happiness to bring us out of our suffering and onto the path of enlightenment. The expedient teachings were tailored to the ignorant and deluded minds of those who heard them, but had not yet revealed the true wisdom and compassion of the Buddha. Now that we have met this Wonderful Dharma, we are assured of our enlightenment and that of all beings. We learn to see innumerable Buddhas in limitless worlds through unimaginable time, and our own true selves at the heart of reality."
Nichiren,Treatise on the Essence of the Lotus Sutra (Hokke Shuyō Shō),"Since time immemorial all the people on the earth have been the Buddha Śākyamuni’s beloved children. We had not realized the relationship because we had been undutiful children. It is a unique relationship. As the moon reflects on calm water, the Buddha appears in our calm mind.","Nichiren wrote this in his Treatise on the Essence of the Lotus Sutra (Hokke Shuyō Shō). The ancient Chinese believed that society became civilized only when people recognized the debt they owe to their ancestors. As children we must grow to become independent, but that does not mean we should forget how dear we are to our parents and show gratitude for their bringing us into this world. Nichiren uses this example to remind us how dear we are to the Buddha. When we forget who we are and where we came from, our minds become disturbed and conflicted. It is through gratitude that we find peace."
Lotus Sutra,Chapter 27,"The king and queen took off their necklaces of pearls worth hundreds of thousands, and strewed the necklaces to the Buddha. The necklaces flew up to the sky [seven times as high as the tāla-tree], and changed into a jeweled platform equipped with four pillars. On the platform was a couch of great treasures, and thousands of millions of heavenly garments were spread [on the couch]. The Buddha [went up,] sat cross-legged [on the couch], and emitted great rays of light. King Wonderful-Adornment thought, ‘The Buddha is exceptional. He is exceedingly handsome. He has the most wonderful form.’","The Buddha uses this description as part of the story of King Wonderful-Adornment in Chapter Twenty-Seven of the Lotus Sūtra. This King was led by the supernatural powers of his children to meet Cloud-Thunderpeal-Star- King Flower-Wisdom Buddha who was teaching the Wonderful Dharma in that world. The King and his wife the Queen were both so inspired by that Buddha that they allowed the symbols of their wealth and power to be transformed into a sacred platform from which the Buddha could lead all beings to enlightenment. When they found that Buddha, the beauty of his wisdom far outshone the beauty of their jewels."
Nichiren,Selecting the Right Time (Senji-shō),"Rivers come together to form an ocean. Particles of dust accumulate to become Mt. Sumeru. When I, Nichiren, began having faith in the Lotus Sutra, it was like a drop of water or a particle of dust in Japan. However, when the sutra is chanted and transmitted to two, three, ten, a million and a billion people, it will grow to be a Mt. Sumeru of perfect enlightenment or the great ocean of Nirvāṇa. There is no way other than this to reach Buddhahood.","Nichiren wrote this passage in his essay on Selecting the Right Time (Senji-shō). In our quest for enlightenment, we may become discouraged by the enormity of our task. When we sweep away one delusion, another appears. When we benefit one being, the needs of millions more become clear. Nichiren reminds us persevering though these difficulties and strengthening our faith in the Buddha’s wisdom are more important than any outcome we seek."
Lotus Sutra,Chapter 2,"Extol the teaching of the One Vehicle In the presence of those who are modest, Who are pure in heart, And who are seeking the enlightenment of the Buddha!","The Buddha sings these verses in Chapter Two of the Lotus Sūtra. In Nichiren’s writings, he taught that since the Wonderful Dharma saves all beings, it is suited to the time in which we live. As Bodhisattvas who are certain of our own enlightenment, we are committed to nourishing the seed of enlightenment in others. These verses show us what to keep in mind as we help to clear away the delusion and suffering in this world. We learn to see purity in the hearts of others, and understand their motivation towards enlightenment, even if they do not realize this themselves."
Lotus Sutra,Chapter 13,"World-Honored One, know this! Evil bhikṣus in the defiled world will not know The teachings that you expounded with expedients According to the capacities of all living beings.","In Chapter Thirteen of the Lotus Sūtra, innumerable Bodhisattvas sing these verses before the Buddha from whom they had come to hear the Wonderful Dharma. They realized that due to their attachment and delusions, beings in this world would see us who keep and practice the Lotus Sūtra as the source of their unhappiness. When we uphold the Buddha’s teaching, and know the true purpose of that teaching, we can see even those beings who cause great harm as opportunities for all of us to become enlightened rather than enemies that we must destroy."
Lotus Sutra,Chapter 18,"Anyone who visits a monastery to hear  The Sūtra of the Lotus Flower of the Wonderful Dharma  And rejoices at hearing it even for a moment,  Will be able to obtain the following merits:","The Buddha sings these verses to Maitreya (whom he calls Ajita - Invincible) in Chapter Eighteen of the Lotus Sutra. The joy we find in the Buddha’s highest teaching is different from what we experience when our desires are satisfied. It is a joy we can learn to find at the heart of everything we think, say and do. The merit that comes from this joy does not make us better than anyone else; it only allows to see the world as the Buddha does. Joy is not something that needs to be added to our lives. It is what we find remaining when we let go of our attachment and delusion."
